Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,,Rico,Sargent,10/6/01,Right,41642,696.0960715,3.020172378,-6.960960715,7.996,-365.1518505,393.1381854,4.207690767,1046.742736,3.668983232,0.373852547,-244.48172,-13.62
1,,Tamara,Shackelford,1/8/98,Left,45352,-370.8446553,2.965226169,3.708446553,6.349,522.580486,602.8530506,6.460017331,1048.053878,8.514622235,0.577432273,-231.292,-26.26
2,,Staci,Crandall,9/15/98,Left,43502,320.3039904,-6.185696587,-3.203039904,4.619,-630.0732069,588.0717953,-5.565818052,936.4373579,1.85082933,-1.647150009,-252.99343,200.15
3,,Dee,Gavin,5/10/01,Right,61831,407.2029277,4.962441603,,,-449.1798058,427.6999656,,1043.397718,4.656572654,1.164707897,-244.0166,-11.15
4,,Gregory,Gustafson,2/1/99,Right,,288.3377471,3.737655971,-2.883377471,4.886,-449.7321661,385.712782,2.876346568,1051.377936,2.750586103,0.102104409,-243.99806,-7.12
5,,Katharine,Ebert,9/25/98,Left,60888,-482.1390964,-7.327170323,4.821390964,-6.611,-525.2725025,359.1481718,5.197858179,1070.712143,10.03246113,-2.185219969,-253.62839,-126.66
6,,Elizebeth,Clemens,12/16/98,Left,46583,-488.0414529,4.276265977,4.880414529,4.916,408.9254737,633.733002,3.577942482,1046.217172,7.922499689,-1.178455682,-231.5856,32.67
7,,Santo,Simonson,1/4/99,Left,42013,675.1440476,4.024691099,-6.751440476,5.108,-590.5148039,409.4206426,4.672595325,1056.701013,7.132861059,0.563117985,-245.93425,13.45
8,,Rosalyn,Gee,9/1/97,Left,27434,-508.7670008,7.146464798,5.087670008,4.586,512.8501337,591.5241864,3.129791632,1040.734232,5.783287107,0.419334369,-229.42604,60.88
9,,Karen,Skaggs,8/11/01,Left,33500,319.8863717,6.558003462,-3.198863717,2.652,-449.9265948,415.7346885,4.754587066,1036.405617,5.773881665,-0.184082311,-242.76836,46.29
10,,Mollie,Donohue,7/7/99,Right,47320,838.6880445,7.307270574,-8.386880445,4.148,-461.4814298,350.3709179,1.788637233,1049.355137,1.58254275,-1.304365866,-247.98054,38.54
11,,Filiberto,Beebe,1/9/00,Left,46821,-592.8400397,-5.193860231,5.928400397,-5.205,,392.4940034,4.430113403,1054.170714,8.89799926,0.202672715,-249.41488,-74.31
12,,Carmen,Washington,2/18/98,Right,54547,-420.4259437,-7.862746375,4.204259437,-2.059,-240.3251463,474.2372032,5.936734829,1031.385628,10.5393157,-2.196523838,-248.69091,-80.08
13,,Milford,Bader,2/1/00,Right,60483,-425.9153614,-4.563680765,4.259153614,-6.922,-487.7828234,386.2096443,3.179448298,1057.987562,8.495121102,0.758081234,-253.07643,-63.92
14,,Nathanael,Holland,8/8/97,Right,46012,-424.8551074,-2.860623587,4.248551074,-4.828,-538.4535201,422.4113046,2.599355454,1056.327058,9.072908001,-1.005776011,-249.44113,-16.04
15,,Nilda,Peyton,6/16/01,Right,58059,511.3930841,4.554058435,,5.257,-621.1801427,320.3215902,7.445043674,1069.634669,4.39077454,-0.875848236,-245.17056,-90.75
16,,Tasha,Lyons,11/30/97,Left,40414,-287.4046382,4.573500186,2.874046382,6.236,324.4447118,587.1697656,3.185660863,1039.069611,5.818117033,0.143678231,-232.80601,36.26
17,,Briana,Diamond,12/24/99,Left,54521,-432.9333259,-4.616780758,4.329333259,-4.632,-709.2826063,386.199391,4.102166348,1072.93051,9.916365625,1.628480849,-250.88116,-75.58
18,,Belle,Jasper,1/28/01,Left,37327,-370.1494448,6.090901717,3.701494448,6.211,617.6647509,615.1761189,3.171363908,1070.323984,7.529848873,0.098972913,-229.40354,24.75
19,,Nathanael,Hanson,4/2/00,Left,46165,593.0073288,1.657752631,-5.930073288,3.995,-552.9535848,365.3742207,5.392873836,1068.495597,7.049343997,-0.505510254,-247.87798,-44.64
20,,Devin,Velasco,7/11/98,Left,68803,349.8697289,6.464247434,-3.498697289,4.254,-679.8208774,353.0444304,,1068.90138,2.049938093,-1.176779555,-245.03147,-39.74
21,,Tami,Preston,7/2/99,Right,52568,-385.8093814,-4.96246571,3.858093814,-5.292,-462.0128347,423.394939,5.459747842,1038.506724,10.33842627,0.753892753,-250.89025,-54.47
22,,Brook,Zapata,3/10/98,Right,10167,-315.5895488,2.299019066,3.155895488,5.292,80.60277789,550.5010068,3.176449215,1044.828664,8.365852626,-0.028707485,-233.9995,56.19
23,,Allan,Mcdade,3/20/01,Left,74358,-577.3753076,3.40903819,5.773753076,5.177,804.4358622,640.2458041,5.218387311,1066.551493,7.347292828,-0.94141214,-230.77467,-62.86
24,,Colin,Rouse,8/19/98,Right,55346,610.0380055,,-6.100380055,7.051,-615.2301811,486.5087294,4.694028734,1056.009135,8.83356029,0.778869178,-244.83219,8.61
25,,Olin,Schumacher,11/27/00,Right,37040,383.7005762,3.520114902,-3.837005762,4.267,-282.053033,400.1516165,6.754121356,1034.963193,5.883460233,-0.873215779,-243.2424,-18.35
26,,Freddy,Jernigan,6/1/97,Right,40696,-537.6509905,1.431912111,5.376509905,4.129,595.0470501,637.1662373,6.513187097,1055.369992,11.5402638,2.134281516,-231.51566,-19.59
27,,Kristal,Beck,12/21/99,Right,65263,-438.7220178,,4.387220178,-6.131,-403.6724411,400.8888679,4.658475488,1038.386735,8.13732856,1.352074625,-252.47707,-78.07
28,,Magdalena,English,3/2/00,Right,72647,535.6919186,-4.71287362,-5.356919186,4.531,-430.6092886,631.4762828,-4.420345486,955.5814241,3.50903379,1.019770249,-253.76253,167.45
29,,Lemuel,Huddleston,8/23/98,Left,63929,-610.4856445,3.032363062,6.104856445,4.605,609.0757039,605.4067155,3.542073854,1064.329086,6.121348178,-0.024520835,-232.17381,-38.96
30,,Ariana,Legg,9/8/00,Left,52616,527.6012758,6.050126669,-5.276012758,5.911,-530.0594337,400.0869405,2.782300474,1050.747369,2.682328552,1.384464422,-244.19834,16.98
31,,Ben,Hughey,7/22/99,Left,49238,286.8891873,3.665554419,-2.868891873,5.58,,435.9557001,3.854298545,1055.147037,5.483182697,-0.695475918,-242.81303,0.76
32,,Paulette,Weeks,3/31/00,Right,74276,429.3800268,-5.150354323,-4.293800268,3.917,-717.8997708,615.0951861,-5.64076831,942.4134069,1.991772255,-0.911025503,-255.29606,187.84
33,,Angeline,Wimberly,6/4/00,Right,63574,447.6387018,5.033653852,-4.476387018,4.265,-627.1640329,374.0170901,4.779062323,1065.27669,4.321173459,-1.134392089,-245.70455,-37.65
34,,Meagan,Romeo,3/31/99,Right,40221,538.4100056,2.981430658,-5.384100056,3.524,-224.3099749,353.4113368,3.679477789,1041.272376,2.774929847,-0.672760532,-247.10056,-15.04
35,,Agustin,Hibbard,8/14/97,Left,51621,-288.2031587,9.402830805,2.882031587,7.119,273.3410668,582.4847291,6.303710412,1064.686169,7.062835369,2.245794085,-228.43012,1.15
36,,Sherwood,Dickerson,10/3/97,Left,45938,680.897392,-3.447588949,-6.80897392,5.742,-460.400474,640.7787744,-4.724288637,961.8600998,5.447672803,-2.871118705,-251.6774,217.76
37,,Oma,Tomlinson,6/20/98,Right,48797,-549.4702135,4.275590692,5.494702135,4.568,625.3112247,608.9401366,6.706888824,1058.59338,9.028632063,-0.056487081,-229.98936,-33.6
38,,Summer,Motley,10/11/00,Right,54372,-506.6702462,-5.078407588,5.066702462,-6.973,-350.8770991,397.4892212,3.006931714,1053.548729,8.456521697,1.125326214,-252.07035,-59.24
39,,Cathryn,Jackman,7/28/97,Left,58605,-592.9949193,4.156799052,5.929949193,4.281,565.2166852,612.9586178,5.573453759,1049.147753,7.383314439,-0.294740299,-231.12774,-25.81
40,,Suzanne,Marvin,3/27/99,Right,45913,-465.3051813,2.354746384,4.653051813,4.497,532.311547,605.2878358,3.717050667,1032.912881,6.490226405,-0.122996399,-233.52648,11.47
41,,Jeannine,Hopson,12/23/00,Left,41129,-522.005607,-5.783493525,5.22005607,-4.955,-482.9556437,401.0277761,5.906923768,1052.353774,10.95558723,-1.198685777,-249.32772,-75.81
42,,Felton,Ayers,10/22/00,Right,41582,712.8197917,7.053433467,-7.128197917,4.685,-438.7528021,,5.549520299,1039.903424,,0.377841786,-244.77196,17.15
43,,Denise,Fryer,9/23/00,Left,74197,-367.8263198,-4.654284317,3.678263198,-3.676,-409.9853851,449.2843756,5.536289711,1011.353978,7.374078283,,-250.76828,-61.29
44,,Eldon,Freedman,12/22/96,Right,74063,399.6312681,5.189909499,-3.996312681,4.527,-510.3580827,335.0138829,,1063.45426,1.50150979,-1.62758388,-245.73654,-82.43
45,,Natalia,Bergman,1/4/97,Left,9014,-255.2326323,2.897033644,2.552326323,6.07,545.8241855,576.5882503,7.520121932,1082.639641,13.15838714,-0.996330114,-229.79917,-18.37
46,,Mei,Dunlap,11/29/96,Left,65557,-360.971033,-5.895356371,3.60971033,-6.637,-352.4233141,407.5843402,2.558715588,1058.409078,8.656110195,0.737190966,-254.08156,-68.69
47,,Dorsey,Milton,10/1/98,Left,26369,870.0634981,-6.199249299,-8.700634981,4.437,-445.6160157,554.8722213,-3.168026584,927.3418809,4.146907652,0.146272327,-256.064,206.59
48,,Charla,Doss,10/16/99,Right,35150,-374.2390236,4.959097785,3.742390236,5.172,815.3132329,585.1703814,4.013615212,1067.60838,7.075334734,-2.206312065,-230.44896,-5.96
